customer_id,application_id,application_hour,application_day_of_week,account_open_year,referral_code,random_noise_1,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,preferred_contact_encoded,account_status_encoded,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code,loan_term,interest_rate,loan_to_value_ratio,loan_officer_id,marketing_campaign,loan_amount,loan_purpose,origination_channel,loan_type,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow
100000,618540,21,0,2018,REF0000,1.1412292312514365,12,2,0,0,0,0,57,52300.0,11.7,2,4,2,0,770,8,1.5,18.0,140600.0,0.0,1,1,0,0,0.25,TN,4.1,53000,1400.0,99.0,73.0,390,24,0.1026,0.0,1066,T,11300.0,0,2,0,4358.0,1024.36,522.79,0.36,0.35,0.12,0.35,49772.4,49772.4,90827.6,1547.15,18565.8,0.22,61072.4,2811.18
100001,589784,9,6,2021,REF0000,0.943839165615998,10,4,0,1,1,0,41,45700.0,5.5,2,3,1,1,733,7,14.6,175.2,90400.0,0.0,1,1,0,0,0.284,CA,5.6,75000,1580.0,161.0,130.0,292,0,0.1773999999999999,0.0,1041,B,6800.0,4,1,2,3808.33,1206.09,204.0,0.37,0.37,0.05,0.28,25492.8,25492.8,64907.2,1410.09,16921.08,0.15,32292.8,2398.24
100002,554219,10,4,2019,REF0000,-0.1160326421567028,4,3,1,1,1,0,22,20000.0,4.4,1,2,0,1,660,0,4.0,48.0,32400.0,0.0,5,5,0,1,0.05,NY,4.9,72000,1740.0,138.0,118.0,552,0,0.1942,0.0,1001,W,3400.0,4,2,2,1666.67,259.53,102.0,0.22,0.22,0.06,0.38,12214.8,12214.8,20185.2,361.53,4338.36,0.17,15614.8,1305.14
100003,613505,3,4,2011,REF0000,-0.0405617869450233,7,0,1,0,0,1,27,44300.0,8.0,0,3,0,1,605,14,9.0,108.0,39100.0,0.0,0,0,0,0,0.347,MA,4.0,81000,1770.0,140.0,116.0,716,0,0.2095,0.0,1098,D,12000.0,4,2,2,3691.67,1117.2,360.0,0.4,0.4,0.1,0.36,14271.5,14271.5,24828.5,1477.2,17726.4,0.27,26271.5,2214.47
100004,571219,9,1,2021,REF0000,0.8190168561368206,6,0,1,0,0,0,32,41100.0,0.9,0,1,0,3,721,5,8.7,104.4,47900.0,0.0,2,2,1,0,0.239,IL,4.8,65000,1520.0,96.0,86.0,559,360,0.0699,0.798,1067,H,279900.0,1,2,1,3425.0,712.04,1860.3,0.75,0.75,0.54,0.49,23471.0,23471.0,24429.0,2572.34,30868.08,6.81,303371.0,852.66
100005,556088,13,1,2021,REF0000,0.7776300053113455,9,5,0,1,0,3,32,49000.0,1.1,3,2,1,1,725,2,11.3,135.60000000000002,96600.0,0.0,2,2,0,0,0.154,CA,5.7,75000,1630.0,153.0,128.0,396,0,0.1687,0.0,1049,O,3200.0,4,1,2,4083.0,542.74,96.0,0.16,0.16,0.02,0.25,24439.8,24439.8,72160.2,638.74,7664.88,0.07,27639.8,3444.59
100006,561098,8,2,2020,REF0000,-0.823543496797158,8,1,1,1,0,3,35,68900.0,5.3,2,2,0,2,708,12,5.2,62.400000000000006,70800.0,0.0,1,1,0,0,0.26,TX,4.5,61000,1440.0,108.0,93.0,361,360,0.0578,0.864,997,D,384300.0,6,1,1,5742.0,681.29,2250.0,0.51,0.51,0.39,0.27,18974.4,18974.4,51825.6,2931.29,35175.48,5.58,403274.4,2810.38
100007,580027,23,5,2016,REF0000,0.0321710957822554,5,3,1,1,0,0,30,48200.0,7.5,1,1,1,0,708,8,12.0,144.0,33200.0,0.0,2,2,0,0,0.37,FL,4.5,55000,1270.0,116.0,89.0,812,360,0.0725,0.741,1078,F,101500.0,6,2,1,4016.67,1459.12,692.41,0.54,0.54,0.17,0.44,14574.8,14574.8,18625.2,2151.53,25818.36,2.11,116074.8,1865.14
100008,599339,21,0,2021,REF0000,0.1512838434484146,12,4,1,1,1,3,52,102800.0,9.1,0,2,2,0,787,4,8.3,99.6,304500.0,0.0,1,1,0,0,0.25,NY,5.1,72000,1990.0,140.0,109.0,957,0,0.1535,0.0,1000,D,3000.0,4,3,2,8566.67,3239.85,90.0,0.39,0.39,0.01,0.15,46588.5,46588.5,257911.5,3329.85,39958.2,0.03,49588.5,5236.82
100009,559068,0,3,2017,REF0000,-1.314439782924185,7,2,1,0,1,1,36,41000.0,1.0,0,4,0,2,723,1,8.7,104.4,43800.0,0.0,1,1,0,0,0.239,NY,4.7,72000,1800.0,138.0,109.0,987,360,0.0512,0.927,996,D,62400.0,6,1,1,3416.67,792.19,339.57,0.33,0.33,0.1,0.57,25141.2,25141.2,18658.8,1131.76,13581.12,1.52,87541.2,2284.91
